# ring2x5-100e — variant srnn-no-dales-skip-seed3 (k=2)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.74651           —           —     scalar
tau_d (s)                                 +0.1     +0.047293           0           0        300
tau_a_E[j=0] (s)                         +0.25      +0.14805           0           0        150
tau_a_E[j=1] (s)                       +1.5896      +0.94136           0           0        150
tau_a_E[j=2] (s)                            +4       +2.3688           0           0        150
tau_a_I[j=0] (s)                         +0.25      +0.19338           0           0        150
tau_a_I[j=1] (s)                       +1.5896       +1.2296           0           0        150
tau_a_I[j=2] (s)                            +4       +3.0941           0           0        150
tau_b_rec_E (s)                             +1       +0.4932           0           0        150
tau_b_rel_E (s)                          +0.25      +0.29091           0           0        150
tau_b_rec_I (s)                             +1      +0.45378           0           0        150
tau_b_rel_I (s)                          +0.25      +0.28905           0           0        150
W_eff (E src, signed)                 +0.23242      +0.38084      0.0775      0.2078      14937
W_eff (I src, signed)                 -0.30903       -0.5231     0.07701      0.2305      14853
|W_eff| (E src)                       +0.23245      +0.38876      0.0774      0.1926      14937
|W_eff| (I src)                       +0.30903      +0.52518     0.07701      0.2257      14853
W_in_eff (input neurons)           -0.00021194     +0.011104     0.09952      0.2133       1275
c_E[j=0] (SFA coupling)                  +0.05      +0.04066           0           0        150
c_E[j=1] (SFA coupling)                  +0.05      +0.04066           0           0        150
c_E[j=2] (SFA coupling)                  +0.05      +0.04066           0           0        150
c_0_E[j=0] (SFA offset)                     +0      -0.10908           0           0        150
c_0_E[j=1] (SFA offset)                     +0      -0.10908           0           0        150
c_0_E[j=2] (SFA offset)                     +0      -0.10908           0           0        150
c_I[j=0] (SFA coupling)                  +0.05     +0.046994           0           0        150
c_I[j=1] (SFA coupling)                  +0.05     +0.046994           0           0        150
c_I[j=2] (SFA coupling)                  +0.05     +0.046994           0           0        150
c_0_I[j=0] (SFA offset)                     +0     +0.082597           0           0        150
c_0_I[j=1] (SFA offset)                     +0     +0.082597           0           0        150
c_0_I[j=2] (SFA offset)                     +0     +0.082597           0           0        150
a_0 (threshold)                          +0.35      +0.25368           0           0        300
W_out_eff (readout × gain)          +0.0021677    +0.0040971     0.06626      0.3399       1275
readout_bias                                +0   +0.00039762           0     0.07067         17
ic.ic (per-variant init)              +0.19622      +0.19622      0.3102      0.3102       1500
