# ring2x5-100e — variant srnn-no-adapt-no-dales-skip-seed3 (k=7)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.65253           —           —     scalar
tau_d (s)                                 +0.1     +0.035421           0           0        300
tau_b_rec_E (s)                             +1      +0.65253           0           0        150
tau_b_rel_E (s)                          +0.25      +0.16313           0           0        150
tau_b_rec_I (s)                             +1      +0.65253           0           0        150
tau_b_rel_I (s)                          +0.25      +0.16313           0           0        150
W_eff (E src, signed)                 +0.23242      +0.37921      0.0775      0.1459      14937
W_eff (I src, signed)                 -0.30903      -0.50052     0.07701      0.1508      14853
|W_eff| (E src)                       +0.23245      +0.38056      0.0774      0.1423      14937
|W_eff| (I src)                       +0.30903      +0.50192     0.07701      0.1461      14853
W_in_eff (input neurons)            +0.0020464    -0.0052746      0.1001      0.2179       1275
a_0 (threshold)                          +0.35      +0.33272           0           0        300
W_out_eff (readout × gain)         -0.00031136    -0.0014694     0.06752      0.1619       1275
readout_bias                                +0    +0.0028744           0     0.01564         17
ic.ic (per-variant init)              +0.23263      +0.23263      0.7278      0.7278       1500
