# ring2x5-100e — variant srnn-no-adapt-no-dales-skip-seed4 (k=8)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1       +0.6646           —           —     scalar
tau_d (s)                                 +0.1      +0.03712           0           0        300
tau_b_rec_E (s)                             +1       +0.6646           0           0        150
tau_b_rel_E (s)                          +0.25      +0.16615           0           0        150
tau_b_rec_I (s)                             +1       +0.6646           0           0        150
tau_b_rel_I (s)                          +0.25      +0.16615           0           0        150
W_eff (E src, signed)                 +0.23246      +0.35828     0.07702      0.1416      15026
W_eff (I src, signed)                 -0.30974       -0.4791     0.07771      0.1529      14796
|W_eff| (E src)                       +0.23251      +0.36041     0.07687      0.1361      15026
|W_eff| (I src)                       +0.30974      +0.48103     0.07771      0.1467      14796
W_in_eff (input neurons)            -0.0011312    -0.0039372     0.09732      0.2103       1275
a_0 (threshold)                          +0.35      +0.36561           0           0        300
W_out_eff (readout × gain)          +0.0005506    +0.0050672      0.0661      0.1867       1275
readout_bias                                +0   -0.00089129           0     0.02409         17
ic.ic (per-variant init)              +0.11354      +0.11354      0.6578      0.6578       1500
